City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
231,nguigmi,14.2495,13.1092,30.12,44,100,1.52,NE,1690499741
232,hamilton,39.1834,-84.5333,31.29,78,20,3.09,US,1690499447
233,aras-asan,8.8908,126.3033,24.66,93,100,0.96,PH,1690499742
234,qarqaraly,49.4058,75.4742,15.1,88,99,1.23,KZ,1690499742
235,isafjordur,66.0755,-23.124,6.98,91,98,4.03,IS,1690499742
236,kerikeri,-35.2268,173.9474,13.28,84,12,0.89,NZ,1690499743
237,alesund,62.4723,6.1549,16.06,93,75,3.6,NO,1690499743
238,araguaina,-7.1911,-48.2072,27.29,33,9,1.27,BR,1690499709
239,tazovsky,67.4667,78.7,15.3,95,64,2.72,RU,1690499743
240,huarmey,-10.0681,-78.1522,21.41,76,16,5.24,PE,1690499744
241,mae hong son,19.3003,97.9685,26.08,83,75,1.03,TH,1690499744
242,alice springs,-23.7,133.8833,15.75,88,40,0.0,AU,1690499744
243,boguchany,58.3814,97.4531,17.17,85,95,0.44,RU,1690499745
244,angra do heroismo,38.65,-27.2167,24.34,97,40,5.36,PT,1690499745
245,crane,31.3974,-102.3501,36.4,19,18,7.91,US,1690499745
246,grand-bassam,5.2118,-3.7388,25.98,93,22,2.89,CI,1690499745
247,kenai,60.5544,-151.2583,17.05,78,100,5.14,US,1690499746
248,nyurba,63.2842,118.3319,18.06,59,39,2.47,RU,1690499703
249,belyy yar,53.6039,91.3903,18.94,88,0,3.0,RU,1690499746
250,dali,25.7,100.1833,18.5,93,76,1.46,CN,1690499746
251,ceelbuur,4.685,46.6176,23.39,74,62,8.26,SO,1690499747
252,merizo village,13.2658,144.6691,25.32,97,100,6.83,GU,1690499747
253,qamdo,31.1667,97.2333,5.26,73,99,1.67,CN,1690499747
254,coquimbo,-29.9533,-71.3436,12.85,87,0,2.57,CL,1690499748
255,lorengau,-2.0226,147.2712,28.08,77,84,2.01,PG,1690499748
256,bardai,11.65,7.2333,23.48,78,100,4.05,NG,1690499748
257,itaituba,-4.2761,-55.9836,30.52,39,39,0.96,BR,1690499748
258,new norfolk,-42.7826,147.0587,12.73,72,59,3.88,AU,1690499749
259,freeport,40.6576,-73.5832,32.98,76,0,7.2,US,1690499617
260,bonne terre,37.9231,-90.5554,36.2,22,1,2.82,US,1690499749
261,kapa'a,22.0752,-159.319,30.99,73,0,7.2,US,1690499749
262,amol,36.4696,52.3507,23.1,75,0,1.71,IR,1690499749
263,port lincoln,-34.7333,135.8667,13.61,87,10,5.87,AU,1690499750
264,vila velha,-20.3297,-40.2925,21.97,89,75,3.09,BR,1690499575
265,iskateley,67.6803,53.1512,14.49,92,100,2.17,RU,1690499750
266,mega,4.05,38.3,14.65,78,92,6.14,ET,1690499752
267,divnomorskoye,44.5011,38.1353,24.27,76,97,5.29,RU,1690499752
268,kamaishi,39.2667,141.8833,27.02,69,6,0.18,JP,1690499752
269,as sulayyil,20.4607,45.5779,33.14,13,77,3.19,SA,1690499753
270,san rafael,-34.6177,-68.3301,10.38,46,31,2.53,AR,1690499753
271,gokwe,-18.2048,28.9349,12.59,57,0,1.47,ZW,1690499753
272,kralendijk,12.15,-68.2667,28.99,79,0,8.75,BQ,1690499754
273,severo-yeniseyskiy,60.3725,93.0408,14.33,92,73,1.42,RU,1690499754
274,thinadhoo,0.5333,72.9333,28.11,78,80,5.02,MV,1690499754
275,bartica,6.4,-58.6167,28.18,98,40,1.39,GY,1690499755
276,port blair,11.6667,92.75,28.02,83,40,4.63,IN,1690499755
277,mariinsk,56.2139,87.7472,15.59,86,84,0.98,RU,1690499755
278,carutapera,-1.195,-46.02,25.61,85,34,3.62,BR,1690499755
279,yakeshi,49.2833,120.7333,18.58,81,9,2.71,CN,1690499756
280,wakkanai,45.4094,141.6739,20.63,96,53,7.08,JP,1690499756
281,dhidhdhoo,6.8833,73.1,27.98,75,15,3.24,MV,1690499730
282,tazacorte,28.629,-17.9293,22.54,80,0,6.69,ES,1690499757
283,magadan,59.5667,150.8,18.63,58,4,3.21,RU,1690499757
284,mermoz boabab,14.7065,-17.4758,28.88,70,75,6.17,SN,1690499758
285,talnakh,69.4865,88.3972,20.67,57,17,2.08,RU,1690499758
286,polyarnyy,69.1989,33.4478,11.12,93,80,0.79,RU,1690499758
287,staryye ozinki,51.1786,49.6769,25.9,47,56,2.84,RU,1690499758
288,colac,-38.3333,143.5833,10.65,94,67,4.78,AU,1690499759
289,kazanskoye,55.6448,69.235,17.7,73,93,2.64,RU,1690499759
290,harper,4.375,-7.7169,24.68,90,94,4.46,LR,1690499759
291,kez,57.8979,53.7152,16.74,99,36,2.4,RU,1690499759
292,freetown,8.484,-13.2299,25.42,88,61,3.09,SL,1690499760
293,burgas,42.5061,27.4678,17.06,82,1,4.12,BG,1690499510
294,chernyshevsk,52.5243,117.0174,16.27,86,36,0.51,RU,1690499760
295,onega,63.9061,38.1404,12.78,79,57,2.05,RU,1690499760
296,revelstoke,50.9832,-118.2023,20.01,56,75,4.63,CA,1690499761
297,bluefields,12.0137,-83.7635,30.04,74,40,2.06,NI,1690499761
298,belmonte,-15.8631,-38.8828,22.98,85,100,4.09,BR,1690499761
299,mineral wells,32.8085,-98.1128,39.11,22,0,6.69,US,1690499762
300,umm kaddadah,13.6017,26.6876,28.1,53,18,3.57,SD,1690499762
301,juneau,58.3019,-134.4197,21.72,100,75,6.17,US,1690499489
302,hadibu,12.65,54.0333,25.07,80,100,9.77,YE,1690499763
303,floro,61.5996,5.0328,14.04,94,6,3.6,NO,1690499467
304,cherdyn',60.403,56.4787,16.24,97,34,3.88,RU,1690499763
305,kirensk,57.7853,108.1119,18.21,93,97,0.5,RU,1690499764
306,kone,-21.0595,164.8658,22.04,44,79,2.99,NC,1690499764
307,praia da vitoria,38.7333,-27.0667,24.14,94,40,3.07,PT,1690499764
308,urangan,-25.3,152.9,18.54,74,76,4.34,AU,1690499765
309,cacheu,12.2706,-16.1658,28.05,86,75,1.66,GW,1690499765
310,korets,50.6165,27.1605,10.9,90,68,4.52,UA,1690499765
311,lahij,13.1667,44.5833,31.54,48,100,1.97,YE,1690499765
312,nova vicosa,-17.8919,-39.3719,21.89,80,66,3.1,BR,1690499766
313,mgandu,-5.95,34.1333,14.68,61,0,3.64,TZ,1690499766
314,old town,50.087,14.4202,17.23,93,75,6.69,CZ,1690499766
315,kirakira,-10.4544,161.9205,26.83,86,95,6.77,SB,1690499767
316,sorong,-0.8833,131.25,24.82,88,100,4.19,ID,1690499767
317,wanning,18.8003,110.3967,27.58,79,100,3.28,CN,1690499768
318,shendi,16.6915,33.4341,32.88,39,45,5.95,SD,1690499768
319,pontianak,-0.0333,109.3333,23.99,88,20,3.09,ID,1690499732
320,tvoroyri,61.5556,-6.8111,11.5,88,85,9.8,FO,1690499769
321,massawa,15.6097,39.45,35.67,41,14,4.37,ER,1690499769
322,salekhard,66.53,66.6019,15.15,93,51,2.95,RU,1690499770
323,rakops,-21.0167,24.3333,16.8,39,3,2.95,BW,1690499770
324,melfort,52.8667,-104.6177,15.07,63,97,4.12,CA,1690499770
325,hithadhoo,-0.6,73.0833,28.26,79,97,6.33,MV,1690499771
326,vangaindrano,-23.35,47.6,18.4,74,98,0.47,MG,1690499771
